%eval_id interface             x2             x1  response_fn_1 
1            NO_ID             -2             -2           3609 
2            NO_ID           -1.5             -2           3034 
3            NO_ID             -1             -2           2509 
4            NO_ID           -0.5             -2           2034 
5            NO_ID              0             -2           1609 
6            NO_ID            0.5             -2           1234 
7            NO_ID              1             -2            909 
8            NO_ID            1.5             -2            634 
9            NO_ID              2             -2            409 
10           NO_ID             -2           -1.5         1812.5 
11           NO_ID           -1.5           -1.5         1412.5 
12           NO_ID             -1           -1.5         1062.5 
13           NO_ID           -0.5           -1.5          762.5 
14           NO_ID              0           -1.5          512.5 
15           NO_ID            0.5           -1.5          312.5 
16           NO_ID              1           -1.5          162.5 
17           NO_ID            1.5           -1.5           62.5 
18           NO_ID              2           -1.5           12.5 
19           NO_ID             -2             -1            904 
20           NO_ID           -1.5             -1            629 
21           NO_ID             -1             -1            404 
22           NO_ID           -0.5             -1            229 
23           NO_ID              0             -1            104 
24           NO_ID            0.5             -1             29 
25           NO_ID              1             -1              4 
26           NO_ID            1.5             -1             29 
27           NO_ID              2             -1            104 
28           NO_ID             -2           -0.5          508.5 
29           NO_ID           -1.5           -0.5          308.5 
30           NO_ID             -1           -0.5          158.5 
31           NO_ID           -0.5           -0.5           58.5 
32           NO_ID              0           -0.5            8.5 
33           NO_ID            0.5           -0.5            8.5 
34           NO_ID              1           -0.5           58.5 
35           NO_ID            1.5           -0.5          158.5 
36           NO_ID              2           -0.5          308.5 
37           NO_ID             -2              0            401 
38           NO_ID           -1.5              0            226 
39           NO_ID             -1              0            101 
40           NO_ID           -0.5              0             26 
41           NO_ID              0              0              1 
42           NO_ID            0.5              0             26 
43           NO_ID              1              0            101 
44           NO_ID            1.5              0            226 
45           NO_ID              2              0            401 
46           NO_ID             -2            0.5          506.5 
47           NO_ID           -1.5            0.5          306.5 
48           NO_ID             -1            0.5          156.5 
49           NO_ID           -0.5            0.5           56.5 
50           NO_ID              0            0.5            6.5 
51           NO_ID            0.5            0.5            6.5 
52           NO_ID              1            0.5           56.5 
53           NO_ID            1.5            0.5          156.5 
54           NO_ID              2            0.5          306.5 
55           NO_ID             -2              1            900 
56           NO_ID           -1.5              1            625 
57           NO_ID             -1              1            400 
58           NO_ID           -0.5              1            225 
59           NO_ID              0              1            100 
60           NO_ID            0.5              1             25 
61           NO_ID              1              1              0 
62           NO_ID            1.5              1             25 
63           NO_ID              2              1            100 
64           NO_ID             -2            1.5         1806.5 
65           NO_ID           -1.5            1.5         1406.5 
66           NO_ID             -1            1.5         1056.5 
67           NO_ID           -0.5            1.5          756.5 
68           NO_ID              0            1.5          506.5 
69           NO_ID            0.5            1.5          306.5 
70           NO_ID              1            1.5          156.5 
71           NO_ID            1.5            1.5           56.5 
72           NO_ID              2            1.5            6.5 
73           NO_ID             -2              2           3601 
74           NO_ID           -1.5              2           3026 
75           NO_ID             -1              2           2501 
76           NO_ID           -0.5              2           2026 
77           NO_ID              0              2           1601 
78           NO_ID            0.5              2           1226 
79           NO_ID              1              2            901 
80           NO_ID            1.5              2            626 
81           NO_ID              2              2            401 
