%            x1             x2          rosen 
  -1.450515127  -0.1822003021    528.5998726 
  0.6088582516   0.9175259788    30.05103105 
 -0.2546594693  -0.6156485072    47.88612483 
    1.41884549  -0.1840021848    482.9386719 
  -1.294433176    1.251451913    23.48971237 
 -0.8610746886   0.1186713669    42.23890175 
  -1.551763961  -0.7161054364    982.4770422 
  -0.880094931   0.7998325103    3.631454357 
  -1.646752956   -1.253680274    1579.596176 
  0.5863177112    1.070915683    53.04340481 
  0.9713704066 -0.02550671558    93.89475354 
  0.1205565562   -1.731177893    305.5299542 
  0.9449268573   0.9127454178  0.02148893276 
 -0.1873933267  0.05887465823    1.474610341 
  0.1325267348    1.403483052     192.893937 
 -0.7085329416    1.613272018    126.3420854 
   1.519575528   -1.544678616    1485.843706 
 -0.1482737865   0.7603367846    55.81943229 
   1.768126145  -0.2571778035    1146.022864 
   -0.12997247  0.02690460414    1.294284595 
  0.7655073354    1.994666444    197.9677929 
  -1.811456698   0.2007198674     955.482451 
  0.5211256281    -1.99360437    512.9703989 
 -0.4714207832   0.6578335068     21.1223295 
   0.873752514    1.724421043    92.04479022 
 -0.4994803561  -0.5873183343    72.26587366 
  -1.607500398  -0.1333422752    744.9529196 
  -1.257701818    1.349686578    10.67096368 
  0.8676014234    1.207391332    20.61402474 
   1.597092251   0.8689786787    282.7789398 
  -1.198362346   0.9823321298    25.60278744 
  -1.046464277   0.3473554833    60.11455716 
   0.270813055  -0.4226680758    25.13017257 
   0.378928501   -1.672616398    330.1131486 
   1.976031528   0.3874506136    1234.399092 
 -0.9481737982    1.432495387    32.27243744 
   1.192388143   -0.443282477    347.8072996 
  -1.248530204     1.58788522    5.124534891 
-0.07766193859   -1.792247056    324.6821838 
  0.3916266547   0.1011345469    0.629178186 
  -1.336561198   -1.998406243    1437.874234 
   1.494428661  -0.1227553261      555.45641 
 -0.8407617218    -1.64279775    555.5220766 
  -1.015918685   -1.984620934     914.370027 
  0.6385248645    1.376175786    93.87864792 
  -1.454904878    1.851862027     12.7524265 
   0.422463327    1.932328418    307.8744188 
  -1.628292508   -1.892165548    2071.011806 
 -0.6183076731   -1.030608326    202.2180186 
 -0.7060304565   0.3043535347    6.665242605 
 -0.7341975174   0.2051528793    14.14297448 
    1.01498695   0.6876815031    11.73086015 
  0.8134805426   0.9953943897    11.13817857 
  -1.590189505    1.947497775    40.33186445 
   1.593503225  -0.2191892334    761.5767003 
 0.01521756812   0.9975591855    100.4375967 
  0.5055637816  -0.4743585607     53.5394337 
  -0.793512997   -1.541792621    474.7416114 
   1.249524475 -0.08899987145      272.35418 
  0.4012108074   0.8175830243    43.47541015 
 -0.6777160946    1.877244835    203.6056206 
  0.9535708382    1.546520643    40.39720997 
   1.540569576    1.978266912    18.29114817 
  -1.758827723  -0.8180083093    1537.513077 
 -0.3142330727   -0.233824688    12.79933303 
  0.6411402724   -1.083799455    223.6077674 
   1.313568017   -1.657764848    1144.873873 
